Hotel_name,Address,State,Positive_review,Facilities,Description,Price,Hotel_summary
ade super hotel ondo,ademulegun road.ondo,ondo,beautiful place stay   friendly staff clean environment stay fun hotel good environment neat beautiful   give room old building need renovation water heater room work properly overall stay good enjoy stay hotel service render okay,"Swimming Pool, Bar, 24 hours Electricity, Adequate Parking Space, POS, Laundry, Security Guard, Bar/Lounge, Event Hall, Restaurant, Suya Spot, Taxi Pickup, Electric Fence, Car rental, Key Card system","Ade Super Hotel is a budget  2-Star  hotel that provides guests with the perfect opportunity to work and relax. It has become one of the relaxation destination of dignitaries, statesmen, foreign potentates and celebrities visiting Ondo town.                              Ade Super hotel Ondo is an affordable hotel in   Ondo Town ,                             Ondo .",6507,enjoy water work overall hotel good fun environment heater ade destination neat properly opportunity service relax celebrity friendly room clean need render dignitary okay renovation stay beautiful staff foreign guest town super perfect place provide oldbudget relaxation building star affordable potentate visit statesman
adeben's place hotel and suites,1 shola ismail crescent off odubona avenue igbeba road ijebu-ode,ogun,hotel beautiful exquisite design pleased customer service receive staff accommodating friendly room clean bed comfy enjoy special hotel regular try sure power supply constant hotel shuffle small generator big generator consequence air conditioning unit small generator sadly 3 room book fan aside thing okay stay hotel fair room comfortable clean staff good calm power supply hotel poor ration air condition room function big generator meal serve hotel good menu list limit option currently stay hotel disappointed detail hotels.ng say 24 hrs electricity wifi available   yesterday reception lady brilliant believe have generator order management recommend hotel resort desperate possible star award star staff time visit ijebu ode impressed hotel believe hotel exist ijebu reception get warm professional cordial staff efficient   swift response.the environment clean calm power supply superb visit soon,"Bar/Lounge, Wireless Internet, Luggage Storage, Event Hall, 24 hours Electricity, Room Service, Adequate Parking Space, Live Band Entertainment, Laundry, Night Club","Adebens Place Hotel &amp; Suites located at 1, Shola Ismail Crescent, off Odubona Avenue, Igbeba Road, Ijebu-Ode. Ogun State. 
 
Our presence in Ogun State is to provide first class hospitality service to our prospective corporate and individual clients, which you are one. 
 
Adebens Place Hotel &amp; Suites is a purpose built, privately owned and professionally run hotel. 
 
The management of Adebens Place Hotel &amp; Suites has put together tested and dedicated staff team, and state-of-the-art facilities to make every stay of our guests a most memorable experience. 
 
Adebens Place Hotel &amp; Suites has good and comfortable bedrooms. It has all the expected modern conveniences such as air conditioner, shower, bath, flat screen tv, night club, bar and a resturant. It also has an open air area where live band play traditional and contemporary music. You want to experience the hospitality of Nigerians then you are at the right place. Our food is delicious. Adebens Place Hotel &amp; Suites Staff are friendly professional, polite and you will definately have a nice time. 
 
Guest Services 
We have taken our time to organise an unbelievable range of services to ensure that your stay with us remain a pleasant experience.                            Adeben's Place Hotel And Suites is a budget hotel in   Ijebu Ode ,                             Ogun .",15500,supply shuffle polite currently environment please thing food comfy regular take lady friendly screen professional generator possible warm constant receive dedicated stay play ode condition cordial electricity menu state bed resturant reception hrs superb purpose efficient band resort corporate team experience ensure contemporary time open clean big detail convenience believe okay client beautiful bath amp nigerians run air soon impressed exist shola ismail avenue hospitality nice music individual swift enjoy test memorable prospective exquisite aside road good build area power fan remain management limit modern suite yesterday guest meal design want art flat star comfortable visit organise bedroom small special conditioning wifi conditioner definately own calm hotel ration expect list function order club serve crescent delicious locate range live service customer brilliant shower room unit traditional pleasant presence try facility right sure staff bar professionally consequence available award place provide fair privately recommendbudget accommodate book night option class
admiralty residency hotel,1b tourism road admiralty estate off alpha beach road,lagos,mosquito battle seriously disappointed water supply good electricty wow room comfy clean ac work perfectly good stay hotel check smooth desk staff helpful provide good service room okay spacious comfortable spend night facility function properly check fast hotel receptionist helpful room spacious clean comfortable bed bathroom big nice hotel clean central issue find perfect place enjoy great location friendly staff room small need bed firm price inexpensive surprised clean room wonderful hotel high level security good service quality time thank normal hotel experience special happen room okay toilet clean expect bed big lay clean sheet adequate security life property hotel great   place love location environment   check easy room neat soft bed clean bed sheet   toilet clean   staff hotel friendly   water   toiletry   provide   water heater   bathroom   need work hotel facility enjoy hotel treat staff concerned welfare guest staff need professional job hotel render car wash service internet service room stay hotel well service upgrade stay hotel great staff hotel friendly bathroom clean water towel toiletry provide room spacious internet   impressed service fantastic stay hotel warm welcome reception staff friendly efficient clean room basic amenity place water power supply constant wifi service inclusive fantastic stay hotel staff friendly room neat water power supply wireless service meal delicious enjoy stay hotel visit hotel lovely staff friendly hospitable room beautiful bathroom spacious fill necessary toiletry need thing nt right water bad funny color go enjoy meal serve hotel hot water,"Adequate Parking, Restaurant, 24 Electricity, Luggage Storage, Room Service, DSTV, Air Conditioning, Refrigerator, Telephone, Flatscreen TV, Laundry, King sized bed, Jacuzzi, Wi-fi Internet Access","Admiralty Residency Hotel is a  3-Star hotel  situated at  1B Tourism Road, Admiralty Estate, Lekki . It is a go-to destination for business lodgers because of its closeness to  Lekki Free Trade Zone (LFTZ) . While Admiralty Residency Hotel is close to the Lekki city centre, the immediate surrounding of the hotel is peaceful and free from the noisy bustle of the city.    All 20 rooms at Admiralty Residency Hotel are painted in earth-toned colours and fitted with gleaming floor tiles categorised into: Standard, Deluxe, Admiral and Superior. Each room is fitted with an air conditioner, a refrigerator, a flat-screen TV with satellite reception, a wardrobe, a work desk with a chair and designed with an en-suite bathroom.  Free WiFi access is available in the lobby and rooms. Some rooms have Jacuzzi.     Admiralty Residency Hotel serves free breakfast to guests. The on-site restaurant offers full board meals from a variety of local and continental menu options. The bar is well-stocked with a variety of alcoholic and non-alcoholic drinks. Guests can enjoy workout sessions at the well-equipped gym.     In addition to the complimentary 24-hour front desk and room service, laundry/dry cleaning and car hire services are provided at extra costs to the guests. On-site and nearby parking is available. Trained security personnel guard the premises.       Interesting Places to Visit near Admiralty Residency Hotel  Lekki Conservation Centre Bird Hide (1.5 km) Lekki Conservation Centre (1.7 km) Nike Art Gallery (7.5 km) Red Door Gallery (11.2 km) Alpha Beach Palms Shopping Mall (10.7 km) Kuramo Beach (12.5 km) Ikoyi Golf Club (14.4 km) Bar Beach (15.1 km)     Terms and Conditions   Check-in: From 2:00pm Check-out: Until 12:00pm Payment: Cash, card  Cancellation: Cancellation and prepayment policies vary according to room type. Children: As there is no capacity for extra beds in the room, children cannot be accommodated at the hotel. Pets: Not allowed Please note that non-refundable rates can only be booked via card prepayments and reservations made on these rates cannot be refunded.                              Admiralty Residency Hotel is a budget hotel in   Lekki ,                             Lagos .",0,supply price deluxe offer water mall upgrade environment heater security fit lovely thing workout location gallery non jacuzzi smooth comfy issue floor friendly card fantastic seriously lie screen need professional refrigerator warm constant wash laundry interesting stay wardrobe car immediate colour personnel condition stock fast reservation addition menu bed adequate funny centre refundable receptionist reception welfare parking admiralty welcome level treat session door chair inexpensive efficient guard toilet capacity policy payment prepayment experience bird time nike business clean big render firm near hospitable okay tourism beautiful thank superior fill air mosquito estate equip toned soft impressed shopping complimentary cleaning note color pet easy close nice toiletry normal enjoy earth work road trade good type continental electricty power basic rate situate accord properly hire restaurant nearby high wow towel local bustle residency extra access premise palm cancellation cash guest suite categorise satellite drink find variety meal design flat bathroom tile art child star peaceful check love comfortable surprised visit conservation alpha gleam destination spend small special happen term wifi conditioner lodger gym beach vary hotel dry quality expect surrounding board function sheet desk life job allow club serve neat delicious service city inclusive zone train room internet helpful necessary alcoholic spacious perfectly facility paint standard right great hot bar staff cost available free red perfect amenity central place site refund provide wireless wonderful property nightbudget golf admiral breakfast accommodate closeness book option hour
adonai exclusive garden,1 ogoja road,ebonyi,serene environment nice bar room outdate old box tv cockroach door handle fall replace   fan switch naked u electrocute room good bad stay hotel hotel good value money affordable facility intact ac room bit noisy like overwork need replacement great take note stay hotel nice good power water supply issue leakage bathroom slow response customer service need work customer service,"Restaurant, Adequate Parking, Single Bed, Study Desk, Luggage Storage","Adonai Exclusive Garden is located in Abakaliki, Nigeria.                            Adonai Exclusive Garden is an affordable hotel in   Abakaliki ,                             Ebonyi .",4000,serene supply electrocute leakage overwork water box slow hotel work good adonai garden environment bit power fan naked service handle issue customer doorlocate exclusive room need replacement response fall stay facility great bar cockroach note outdate bathroom value switch affordable old nice intact like replace money
afri hotels,plot 281 herbert macaulay way opposite national defense college,abuja,stay hotel okay issue check hotel pos machine transfer payment manager bank account allow check good issue arise payment hotel need upgrade facility stay hotel couple year ago facility past place look unkempt management work make place look well stay stay pretty okay hotel receive staff room take comfortable cozy clean bathroom maintain facility good working condition food nicely ad deliciously nice time check long experience difficulty try stay hotel hotel good staff receptive courteous oppose hotel hope stay remain pleasant currently enjoy stay hotel service okay save room service management need work room untidy wait 2 hour clean proper thing work soon move past issue hotel okay hotel dirty ..... expect well dirty handle need well management want run expect customer come hotel look good think need renovate hotel floor need repair wall need repaint facility .. location perfect centre abuja secured staff friendly nice place home away home beautiful room locate secured area elevator people lodge floor great dish satisfied service get hotel room reserve tidy staff welcome actually environment okay room facility good condition suggest management soon possible hotel need upgrade room give untidy bedcover smell stale dirty air conditioner keep trip comfortable internet connection ask service check hotel management need improve recommend architect hotel wonderful job location perfect building wonderful good customer service cause complain stay hotel apart car hire service expensive spend n20 000 nice place expect room clean step wonder drop key idea drop key room clean nice place stay nice customer go downstairs single thing look nice call reception severally response slow service facility good working condition towel bathroom call complain actually respond try improve service hotel okay environment take care think staff work act like favor order lunch take long time try get reception sure meal lady end nice call time hungry need know outside get meal later think well treat customer well room service poor laundry man promise come laundry stuff show bar man tell busy contact receptionist bottled water request receptionist ask return bar man know tell responsibility provide bottled water receptionist promise sort bar man kitchen revert   ... leave room have water brush tooth wait minute avail   like afri hotel assurance service improve staff need monitoring training role courtesy politeness lodge room 313 deluxe 1 night 3rd/4th september 2015 enjoy stay hotel staff attentive ready serve come drink friend time stay try experience office staff nice ask need help high level security hotel nice location neat peaceful definitely stay hotel family holiday staff friendly food great room appoint good location ... minute walk meeting pleased food option breakfast lunch dinner great room facility absolutely great hotel secure good thing like overall service staff courteous highly recommend manage stay hotel close program hold hotel lack customer service beg basic room need thing like call come clean room take hour come beg toilet roll room table nice hotel nice lack hospitality area terrible affordable walk room look dirty unkempt take room well tell room sweep think happen think hotel affordable like hotel okay apart fact room clean hotel nice service nice enjoy stay love visit anytime soon stay hotel fine enjoy thank stay hotel write room give properly take care arrival toilet dirty    tap good condition   water heater foot mat dust bin hope corrective measure stay hotel okay wife enjoy traditional dish customer service great environment tidy clean go hotel environment calm quiet customer service good enjoy stay customer service train manager available customer time improve uniform stay hotel okay environment clean tidy customer service try service poor like facility manage hotel good decent ... okay stay manageable service great staff night duty friendly well friendly staff good customer relation morning duty people restaurant customer friendly buy eat room ok environment clean tidy stay hotel good room environment customer service ok .... rate good management hotel ensure room clean regularly strict supervision stay hotel fine .... customer service great lovely tidy environment hotel great hotel anytime come abuja time go hotel rowdy think politician come make noise enjoy stay day stay ...... wo place good hotel continue way management hotel kindly note generally room okay environment great customer service bit slow respond client ... tv dvd room movie watch view news try movie watch order away time .... bathroom toilet tidy clean stay hotel okay nice lovely environment .... customer service good .... staff responsive fantastic yes thing promise hotel example say home theatre room pay get ...... staff try friendly prompt attend customer lady meet reception come morning friendly helpful smile service provide excellent take nice helpful friendly swimming pool hotel experience hotel hotel okay challenge experience cafeteria slow stand hour food eat find funny nice hotel okay little issue cafeteria service slow comfortable hotel okay strategically locate heart abuja secured environment easily accessible room conducive service delivery staff slow get hotel tell fully book hotels.ng immediately booking minute sort exact room book give think advantage book stay generally fine fridge room work perfectly hotel environment clean room okay location easily accessible need improve staff staff response encouraging act dull slow reluctant get thing need improve technology enhance service delivery hotel okay room book air condition fan comfortable environment cool atmosphere conducive great time hotel okay room book air condition fan comfortable environment cool atmosphere conducive great time place beautiful standard need train staff order achieve customer retain old one staff respond slow discharge duty place manageable special thing enjoy meal taste great definitely come love hotel architect hotel wonderful job location perfect building wonderful good customer service cause complain stay hotel apart car hire service expensive spend n20 000 hotel need upgrade room give untidy bedcover smell stale dirty air conditioner keep trip comfortable internet connection ask service check hotel management need improve recommend enjoy stay .they satisfactory service like improve room service food okay affordable stay good enjoy meal variety choose suggest hotel try elevator people stay upper floor staff friendly,"Restaurant, Bar/Lounge, Security, Air Conditioning, Room Service, DSTV, Security Guard, Toiletries, Television, Laundry","Situated at  Plot 281 Herbert Macaulay Way, Opposite National Defense College  Afri Hotel Abuja is a citadel of excellence and homeliness. Its location sets it strategically between various places of interest like  Millennium Park  and other businesses.    The rooms at Afri Hotel come in a wide variety of choices. They include: Afri Standard, Royal, Deluxe, Ambassador, Super Diplomat, Luxury Suite, Exotic and Executive.  Each of the 100 room is fitted with top class features such as television sets with satellite channels, a microwave (on request), refrigerators with free bottled water, work tables and chairs, air conditioners, private bathrooms, free toiletries, and hair dryer.    Free continental breakfast is served daily to guests at Afri Hotel. The on-site restaurant serves well prepared and tasty meals and of course you can relax in the lounge after a stressful day. The in-house barbeque grills and coffee shop are stocked to suit the guests looking for variety in their cuisine.    Guest at the Afri Hotel may also make use of the outdoor pool for a relaxing swim or simply enjoy the on-site bar/lounge and terrace. A Gym/Fitness centre is available for those looking to stay in shape and keep fit. There is also a business centre and free Wi-Fi access is available throughout the premises. For guests interested in holding meets, office retreats and other cooperate events, the conference centre at Afri Hotel is available and well equipped to meet those needs.    Afri Hotel also provides a variety of other services such as airport shuttle, 24-hour front desk &amp; room service, daily housekeeping, laundry service, concierge service, free newspapers in the lobby, luggage storage, porter/bellhop, for the comfort of its guests. The hotel complex comes with various levels of security with a presence of professional security guards. Parking at the hotel premises is safe and free.     Interesting Places to Visit Near Afri Hotel   Nigerian National Mosque (2 km) National Hospital Abuja (3.1 km) Federal Secretariat (3.2 km) National Assembly (3.9 km) Millennium Park (4 km)      Terms and Conditions   Check-in : From 7:00am Check-out: At 12:00pm Payment: Card, cash deposit required at check-in Government-issued photo ID required at check-in Minimum check-in age is 18 Pets: Max is 2 pets per room Children: Cribs/infant beds available at a surcharge Rollaway/extra beds available at a surcharge Guests must contact the property in advance to reserve a crib (infant bed)/rollaway bed                               Afri Hotels is an affordable hotel in   Central Business District ,                             Abuja .",0,water revert heater thing location severally regularly pretty yes professional training interest stay safe stock step super receptionist suit treat relation encourage people hope fridge housekeeping fitness maintain wife house courtesy dryer favor fact relax ago clean government beautiful cause easily run outside soon heart terrace atmosphere meet hospitality affordable executive hold arise plot newspaper herbert stuff excellence work good promise continental respond television hire extra choose access shuttle unkempt suggest key suite variety wonder upper storage love old spend end conditioner stressful hotel arrival act order desk accessible channel college locate hair national minute train request pleasant traditional simply little difficulty staff care wide central wait exact actually microwave secure ambassador improve account option september duty corrective grill later ask upgrade cooperate noise issue card friendly fantastic refrigerator need anytime reserve interesting course prepared use write delivery return eat age welcome level walk homeliness dinner renovate tap movie hospital machine toilet immediately federal office beg untidy near way client thank rowdy past tooth shop complex holiday diplomat strict friend monitor architect know lunch overall barbeque proper tell royal sweep outdoor fine ready foot high assembly private smell deposit deliciously politician cash achieve daily pool morning pos save table peaceful comfortable dish help special term satisfied calm expect man retreat customer room presence try defense available free repair conducive site swimming coffee discharge stale crib breakfast nigerian currently environment excellent event look food taste airport year feature example possible laundry assurance secretariat working transfer oppose funny bed centre reception manager parking reluctant strategically concierge chair elevator nicely guard appoint infant bottled tasty choice busy think ensure business district responsibility expensive role mat uniform note program close nice toiletry enjoy satisfactory repaint build cozy bit advance include area downstairs remain management situate properly restaurant photo towel relaxing brush drink meal luxury bathroom attend attentive watch bin gym idea lodge job serve service come enhance luggage facility perfectly great bar advantage meeting perfect place highly wall prompt wonderful lounge property night recommend stand view deluxe retain decent definitely minimum please security lovely fit manage cuisine set floor lady comfort require receive sort citadel car condition contact smile couple apart slow payment afri experience avail handle kitchen time okay response mosque amp quiet air porter interested dust pet absolutely like family swim generally macaulay single roll politeness news day basic rate supervision responsive fan long bellhop manageable surcharge conference cafeteria home dvd premise courteous kindly guest satellite buy measure find millennium want child trip check park visit fully happen equipped connection bank cool away allow neat max opposite internet helpful rollaway tidy standard sure technology provide hungrydeluxe exotic continue theatre receptive shape book hour class
african continental hotel giginya,by  western by pass road pass road,sokoto,hotel good place stay hotel management need upgrade facility reception receive good staff efficient discharge duty room bad state enjoy stay hotel rate hotel point scale want encounter hotel hotel require standard hotel mighty structure potential great lack proper maintenance hotel management need improve customer service improve facility unfortunately recommend hotel office management embarrassed get rate bad access hot water hotel room look like frequently unkempt mosquito sleep night pleasant experience stay hotel pleasant reservation claim get balance   eventually able sort hotel bad good stay hotel okay huge problem check cash hotel pos get hotel cash distant atm friendly encourage hotel management pos reception help client cash enjoy stay hotel good place love hotel cool lot operation issue room service respond pos pay card improve service stay night   hotel great choice mention service superb hotel staff friendly efficient   helpful room service amazing order   staff appear like genie door instantly neat secured hotel lovely location recommend hotel hotel okay ensure place hotel work cleanliness hotel okay ensure place hotel work cleanliness yes ant room stay hotel edifice impressed food especially spaghetti   carbonara.excellent chef!.keep fantastic time comfortable room spacious bed good problem complain air- condition work tell renovate hotel structure beautiful good parking space,"Restaurant, Gift Shop, Security, Wireless Internet, Air Conditioning, 24 Electricity, Adequate Parking, Swimming Pool, Fitness facilities, Flatscreen TV, Tennis court","The Giginya Coral Hotel is a  3-Star  hotel located on the  Western Bye-pass road in Sokoto, Sokoto State.  It is beside the  Shehu Shagari Secretariat  and it's just 1.2 km from the  Sokoto Airport .   The four-storeyed Hotel boasts a total of 295 rooms which range from the Standard rooms, Deluxe, Suites, Royal Suites, V.I.P Suites to the Presidential. Each room at the Giginya Coral Hotel is spacious and comes with great facilities: A flat-screen television set with multi-channel satellite, mini fridge, free Wi-Fi, private bathrooms, air conditioning, telephone, open air balcony, sofa, refrigerator, desk and table plus a king-sized bed.  It offers an array of excellent hospitality services, which include: Adequate parking arrangement with car park and valet, 24 hours electricity, fitness facilities, outdoor pool, restaurant with both Nigerian and foreign menu, a 300 capacity Ballhall and a meeting hall that can seat 80 persons.  The Giginya Coral Hotel also provides guests with extra services such as: Car hire services, babysitting/childcare services, business services eg Copier and Fax, Hair stylist, concierge services, laundry services, room service, souvenir shop. There is also a Mosque as well as recreational facilities for squash and lawn tennis.     Places Of Interest Near Giginya Coral Hotel  Gibadi Rocks Sokoto Airport Waziri Junaidu History and Culture Museum Goronyo Dam Sultan of Sokoto's Palace Tomb of Usman Dan Fodio     Terms and Conditions  Check in: from 12:00am Check out: by 12:00pm Pets: No Cooking in rooms: No Personally owned electrical appliances such as pressing Irons: No Cancellation policy: 50% charge on any room for the cancellation of a confirmed booking.                              African Continental Hotel Giginya is a budget hotel in   Sokoto ,                             Sokoto .",38166,budget deluxe offer water ant upgrade excellent array lovely look valet tennis food location babysitting scale set issue airport mention able friendly card fantastic screen refrigerator history need yes personally plus require unfortunately receive laundry sort interest stay car condition secretariat reservation electricity state menu bed sofa adequate cleanliness african reception distant telephone parking instantly lot concierge encourage door especially fridge renovate superb fitness efficient mini capacity eventually multi encounterappliance policy office culture spaghetti copier experience press choice ensure time open business near coral fax iron okay client beautiful mosque seat sized dan balcony structure mosquito amazing air lawn huge charge maintenance impressed edifice shop squash hospitality pass pet like rock stylist enjoy work road king proper good tell western royal continental include outdoor atm rate childcare management respond television bye hire restaurant hall potential extra private access balance genie unkempt souvenir sultan cancellation foreign cash cooking suite guest pool satellite mighty pos want flat bathroom space table star check operation love park usman comfortable presidential help conditioning term dam own hotel point cool order desk channel neat appear locate range hair service tomb person customer claim total come room museum helpful pleasant spacious sleep arrangement facility standard great hot electrical confirm staff booking meeting free place provide frequently discharge storeye secure improve recreational palace night nigerian recommend hour boast duty
african safari hotels,plot 16 mekong crescent off euphrates street,abuja,good time hotel room service point room clean wifi experience hotel pleasurable customer service effective cater need professional manner hotel big parking space guest park car personally enjoy stay wifi fast food good honestly comfort service amazing location great service wonderful room clean furnished food good hotel clean serene room service great hotel attendant helpful humble bathroom toilet proprely clean meal hotel nice prepared stay hotel good hotel easy locate environment neat comfortable room clean beautiful excellent customer service impressed service,"Security, Restaurant, Bar/Lounge, Adequate Parking, Air Conditioning, DSTV", ,12950,serene wifi enjoy hotel point good toilet cater environment excellent food location neat locate experience honestly service furnish customer time room clean need professional big personally comfort helpful humble stay beautiful car attendant great prepared amazing fast guest impressed meal bathroom effective parking space wonderful park easy comfortable nice manner pleasurable
agete luxury hotel,c33/34 522 road first avenue beside fin bank,abuja,stay hotel average fairly good service render fairly clean environment food serve okay staff nice friendly extent rate hotel service delivery stay hotel enjoyable receive staff room stay okay environment okay like star hotel enjoy good use facility room comfortable stay bed clean sheet nice time enjoy stay hotel challenge issue stay hotel staff nice polite receive room okay clean comfortable include bathroom generally service delivery wonderful happy stay hotel stay hotel good location hotel perfect purpose facility room effective functional service render amazing find environment incredibly relaxing hotel environment calm quiet room give spacious comfortable room work air conditioning unit power relatively constant customer service efficient spend night hotel room expect beautiful clean bed properly arrange facility great visit soon hotel staff great timely enjoy stay room comfortable look forward go hotel staff extremely professional room large clean hotel perfect place power supply 24hours internet available water heater work fine room comfortable beautiful room service perfect food delicious affordable kudo good time hotel stay room take care housekeeper hotel food affordable delicious room service fast respond request short time room work air condition power relatively constant stay hotel fine meal serve restaurant bad constant power supply stay hotel room service time laundry service impressive maximum security like location place nice hotel stay long want fine enjoy stay look forward hotel okey environment beautiful constant power supply worsen case stock elevator.apart hotel good,"Restaurant, Bar/Lounge, DSTV, Security Guard, Refrigerator, Laundry, Adequate Parking Space, Ironing, Flatscreen TV, Gym, Toiletries, Adequate Parking Space","Agete Luxury Hotel has professionally trained staff that give guests a warm reception and handle requests in an efficient and timely manner. It is situated in proximity to  Silverbird Cinemas  and  Millennium Park . Agete Luxury Hotel can be found at  C33/34 5422 Road, First Avenue, Beside Fin Bank, Abuja, Nigeria .  The rooms at Agete Luxury Hotel come in the following categories: Studio, Standard Room, Deluxe Room, Executive Room, Super Executive and Diplomatic. The rooms have functioning air conditioning units designed to keep guests cool and refreshed all day long. There is a refrigerator where guests can store drinks and canned foods. Its en-suite bathroom comes with toiletries for guests' comfort. The king-sized beds come with beddings that are always clean and soft on the body. Sofas are also available for guests who would like to entertain visitors. Guests can watch their favourite channels on the flat screen TV which comes with satellite reception.  Agete Luxury Hotel has a gym where guests can work out to keep fit. There is a business centre where guests can get business support services. The restaurant offers a menu filled with mouthwatering meals to guests. The bar comes fitted with an array of wines, cocktails and other beverages for guests’ enjoyment.   Additional services offered by Agete Luxury Hotel include laundry/dry cleaning services, a responsive 24-hour room service and ironing services. Guests can make use of the adequate parking space provided on-site. 24 hours power supply is provided and the hotel premises is secured at all times.     Interesting Places to Visit near Agete Luxury Hotel  Silverbird Cinemas Millennium Park Efab Mall Mama Cass Domino’s Pizza Ecowas Secretariat Gurara Falls Czech Republic     Terms and Conditions  Check in: From 1:00 pm Check out: By 12:00 pm Children: Kids not older than 12 can stay for free Pets: Pets are not permitted                              Agete Luxury Hotel is  hotel in   Gwarinpa ,                             Abuja .",0,supply deluxe arrange offer water mall polite studio environment heater extent security fit array food location look forward issue beverage friendly screen refrigerator fairly professional comfort warm constant laundry receive interesting stay ecowas condition secretariat kudo fast stock use support super menu incredibly bed sofa adequate delivery centre bedding cass reception parking following czech wine manner case purpose efficient impressive pizza relax handle time domino business clean near render okay housekeeper entertain beautiful quiet sized maximum fill amazing air soon kid soft cleaning avenue effective pet affordable executive nice like toiletry can republic generally enjoy work road king comes good relatively include happy power fine visitor day rate body respond situate average properly responsive long restaurant nightsupply okey ironing premise enjoyable large mama guest suite proximity satellite millennium find drink meal want luxury design bathroom fin flat cocktail space star child park check comfortable visit old spend watch conditioning term gym calm hotel bank dry expect store enjoyment function cool sheet timely channel serve delicious service customer diplomatic come train room unit internet request cinema spacious fall favourite short facility functional category standard great refresh bar staff professionally available permit mouthwatering care free perfect site place provide secure wonderful additional extremely hour
agura hotel,moshod abiola road p.m.b 40 abujanigeria.,abuja,enjoy stay hotel receive staff nice friendly service delivery good facility available work pretty room clean comfy food enjoyable issue stay okay hotel poor service render water heater bathroom hotel provide hot water use power supply stable food nice stay hotel fine beautiful locate calm place room neat comfortable bathroom clean water supply power supply stable hotel suppose   5 star hotel expect power   go like need good generator inverter like hotel good room service slow personally downstairs order bad hotel management need figure way staff responsive,"Restaurant, Bar/Lounge, Gift Shop, Security, DSTV, Air Conditioning, Room service 24h, Television, Swimming Pool, Wireless Internet, Adequate Parking, Business Centre, Fitness facilities, concierge, King sized bed","Rated among the top hotels in Abuja, Agura Hotel is a  4-Star  luxury Hotel  off Moshood Abiola Way, Garki . It offers various quality services through its club, restaurant, bar and coffee bar for an awesome dining and social get-together experience.  Agura Hotel has a total of 156 guest rooms which are grouped into Executive Business Suite, Standard King Double, and Executive King Double. These air-conditioned rooms are fitted with ornate lampshades, In-room workstation, wireless connection, TV with inbuilt DVD and cable channels, separate sitting area with sofas, mini bar fridge, direct dial telephone, complimentary drink and newspaper, electronic key card and an en-suite bathroom.  Guests can enjoy Continental and Nigerian cuisines at the on-site restaurant (Mercury) or relax at Milkyway Coffee Shop. Assorted drinks of premium quality can also be gotten from the on-site bar. For sociable moments, guests can treat themselves to a live band session at the Sunbeam discotheque or party all night at the Night Club.  Facilities available at Agura Hotel include an outdoor pool and gym equipped with weights, treadmills and stationary bikes, Banquet and Conference hall, ATM, Basketball and Lawn Tennis Courts, Business centre, Boutique and Gift Shop, Flight Booking Centre, Elevators, 24 hours room service and parking space.  Car hire and Laundry services are available at an additional charge.     Interesting Places To Visit Near Agura Hotel  Millennium Park (4.9 km) National Mosque Abuja (3.5 km) Silverbird Cinemas (3.7 km) Aso Rock (5.4 km) National Stadium Abuja (6.6 km)                              Agura Hotel is a budget hotel in   Garki ,                             Abuja .",33625,supply offer water heater fit food tennis awesome cuisine hour comfy issue dial card friendly weight pretty need generator personally laundry receive electronic interesting stay car condition use delivery centre aso telephone parking treat session fridge elevator inbuilt band slow stationary mini stablebudget experience relax business clean way render near okay mosque beautiful direct banquet sofas air equip lawn charge shop complimentary workstation executive nice like milkyway lampshade rock newspaper enjoy work king good continental party social fine power area downstairs include outdoor atm rate management responsive discotheque gift hire restaurant hall conference dvd enjoyable separate key boutique inverter guest suite pool drink millennium luxury bathroom ornate space star park basketball moment comfortable flight visit dining suppose group premium gym calm connection hotel figure expect quality double order channel club abiola neat locate live national service treadmill total room cinema bike facility standard hot bar staff stadium booking available site place provide get coffee cable wireless assorted additional sociable sunbeam mercury nigerian court night sitting
airport valley resort,km 13 enugu/abakaliki express road emene industrial layout emene,enugu,beautiful experience stay long enjoy single day food superb room comfortable staff nice respectful enjoy bar nice serene room clean promptly room service swift pleased nice stay hotel environment conducive constant power supply like fact restaurant hotel food outside hotel staff friendly enjoy stay feel like spend day love hotel environment cool way expect receptionist duty come nice helpful go hotel home away home quiet environment wonderful staff clean room taste food round,"Restaurant, Bar/Lounge, Security Guard, Flatscreen TV, Air Conditioning, Adequate Parking Space, Laundry, Refrigerator, DSTV, Luggage Storage","Airport Valley Resort is located in a beautiful environment along Abakaliki Expressway in Emene, Enugu State.   
  All rooms are fully air conditioned and fitted with fridges, en-suite bathrooms and flat screen TVs. Some rooms feature small living rooms. All hotel staffs are friendly and ready to assist at all times.   
    
  The onsite restaurant and bar offer a variety of dishes and drinks. The hotel has a swimming pool.    
  The hotel has an onsite car hire service. Free parking is available and the premise is guarded by security personnel.   
   Airport Valley Resort is 5 minutes away from the airport.                              Airport Valley Resort  is an affordable hotel in   Independence Layout ,                             Enugu .",8700,supply dutyfridge offer environment please security fit food taste airport feature friendly screen constant stay car condition living personnel respectful state receptionist parking feel serene superb assist guard resort tv experience fact time clean way round beautiful quiet outside air affordable nice valley like layout swift enjoy promptly single power day ready onsite long hire restaurant home premise suite pool drink variety flat bathroom love comfortable dish spend fully small independence hotel expect cool away locate service minute come room expressway helpful bar staff available free conducive swimming wonderful
